confidence_score,citation_score,perplexity,hallucination_label
0.8756,0.1584,14.58,1
0.073,0.5576,15.05,1
0.6252,0.4576,17.2,1
0.6828,0.5551,14.55,0
0.2458,0.4056,32.62,1
0.3588,0.3135,5.2,1
0.1089,0.5382,8.15,1
0.6658,0.7434,26.02,0
0.4072,0.7036,8.59,1
0.6318,0.6892,8.73,0
0.5238,0.6463,20.72,0
0.5544,0.6214,6.46,0
0.6946,0.8126,17.39,0
0.7432,0.7747,13.72,0
0.5982,0.3335,27.72,1
0.6162,0.4309,22.57,1
0.1827,0.2602,6.61,1
0.1753,0.7777,15.1,1
0.758,0.7385,11.66,0
0.8512,0.7891,25.0,0
0.5731,0.6189,20.3,0
0.8238,0.5169,25.59,0
0.253,0.2289,5.76,1
0.5766,0.6489,5.38,0
0.5887,0.2646,10.41,1
0.6049,0.484,21.28,1
0.8374,0.6618,7.78,0
0.5172,0.9435,10.83,0
0.5334,0.5277,10.29,1
0.8357,0.3586,3.73,1
0.4268,0.7882,8.63,0
0.2935,0.5319,5.72,1
0.217,0.0817,33.04,1
0.739,0.6664,15.54,0
0.4073,0.8566,8.69,0
0.6547,0.785,8.24,0
0.2827,0.4835,19.22,1
0.5901,0.4987,12.24,1
0.4773,0.3578,21.59,1
0.827,0.348,10.51,1
0.6343,0.3725,8.87,1
0.7922,0.5981,2.5,0
0.5168,0.6324,19.39,0
0.5872,0.6679,19.89,0
0.34,0.873,28.63,1
0.2591,0.8623,6.1,1
0.3841,0.522,43.31,1
0.7285,0.3719,6.73,1
0.1098,0.9542,26.42,1
0.556,0.652,8.64,0
0.4941,0.3486,15.81,1
0.3277,0.4009,12.29,1
0.5511,0.8202,41.75,0
0.2943,0.47,3.27,1
0.3491,0.4272,23.81,1
0.6407,0.7087,9.63,0
0.1701,0.64,25.08,1
0.6585,0.528,22.04,0
0.1557,0.5063,11.25,1
0.6241,0.4737,17.36,1
0.4179,0.5647,16.58,1
0.5335,0.3,15.44,1
0.5571,0.1202,14.38,1
0.5227,0.2825,29.1,1
0.6629,0.687,20.31,0
0.4505,0.2368,31.14,1
0.2622,0.8193,10.19,1
0.8011,0.2066,17.01,1
0.6042,0.5648,14.76,0
0.5386,0.7596,19.58,0
0.4124,0.7991,4.34,0
0.1572,0.4526,29.29,1
0.0694,0.2957,23.72,1
0.1349,0.3544,6.16,1
0.441,0.3651,8.07,1
0.3593,0.6581,21.85,1
0.6269,0.4361,8.61,1
0.3317,0.8007,11.41,1
0.2351,0.7556,12.48,1
0.029,0.6915,6.21,1
0.1498,0.6383,8.19,1
0.4477,0.4263,9.19,1
0.5947,0.4216,24.97,1
0.4144,0.5185,30.62,1
0.8287,0.5318,6.64,0
0.5407,0.8516,14.18,0
0.453,0.2694,6.68,1
0.691,0.7126,11.2,0
0.3956,0.4984,6.25,1
0.4773,0.4297,8.35,1
0.5184,0.5464,9.57,1
0.3462,0.4277,16.03,1
0.438,0.6808,22.76,1
0.2677,0.7152,17.11,1
0.609,0.5218,11.76,0
0.6506,0.4356,25.9,1
0.8555,0.6863,12.28,0
0.3755,0.7383,17.46,1
0.4899,0.7561,19.18,0
0.2586,0.7545,28.14,1
0.7637,0.6343,25.87,0
0.6648,0.9833,11.58,0
0.1884,0.3547,23.38,1
0.5038,0.8596,12.82,0
0.4842,0.432,30.01,1
0.7694,0.6161,10.82,0
0.7779,0.3031,12.66,1
0.5615,0.5483,9.99,0
0.6393,0.4741,9.15,0
0.2585,0.9124,20.64,1
0.489,0.4084,6.02,1
0.191,0.5412,9.29,1
0.3413,0.5443,16.0,1
0.5002,0.7448,14.8,0
0.2685,0.6095,19.34,1
0.6897,0.5701,31.36,0
0.9401,0.9149,5.99,0
0.3732,0.5135,7.89,1
